moph_id,atc,brand_name,b_g,ingredients,dosage,form,price_lbp,detail_url
2189,D10BA01,A-CNOTREN,G,Isotretinoin - 20mg,20mg,"Capsule, soft gelatin",1526524,https://www.moph.gov.lb/en/Drugs/view/2189
2149,D10AD01,A-RET,G,Tretinoin - 0.05%,0.05%,Cream,335961,https://www.moph.gov.lb/en/Drugs/view/2149
4394,N02BE51,A.B.C NIGHT,G,"Paracetamol - 500mg, Diphenhydramine HCl - 25mg",,"Tablet, film coated",222694,https://www.moph.gov.lb/en/Drugs/view/4394
4410,N02BE51,A.B.C.-COLD,G,"Paracetamol - 500mg, Chlorphenamine maleate - 4mg, Phenylephrine HCl - 5mg",,"Tablet, film coated",534977,https://www.moph.gov.lb/en/Drugs/view/4410
752,B01AC06,A.S HEART,G,Acetylsalicylic acid - 81mg,81mg,"Tablet, enteric coated",148463,https://www.moph.gov.lb/en/Drugs/view/752
4734,N05AX12,ABILIFY MAINTENA,B,Aripiprazole - 400mg,400mg,"Injectable powder for suspension, prolonged release+solvent",29491998,https://www.moph.gov.lb/en/Drugs/view/4734
4716,N05AX12,ABIPREX 10,G,Aripiprazole - 10mg,10mg,Tablet,1075074,https://www.moph.gov.lb/en/Drugs/view/4716
4724,N05AX12,ABIPREX 15,G,Aripiprazole - 15mg,15mg,Tablet,1075074,https://www.moph.gov.lb/en/Drugs/view/4724
3729,L02BX03,ABIRATERONE ACETATE NEAPOLIS,G,Abiraterone acetate - 250mg,250mg,Tablet,75418662,https://www.moph.gov.lb/en/Drugs/view/3729
3730,L02BX03,ABIRATERONE ACETATE SPC,G,Abiraterone acetate - 250mg,250mg,"Tablet, film coated",73748373,https://www.moph.gov.lb/en/Drugs/view/3730
3731,L02BX03,ABLAX 250,G,Abiraterone acetate - 250mg,250mg,Tablet,45056853,https://www.moph.gov.lb/en/Drugs/view/3731
3734,L02BX03,ABLAX 500,G,Abiraterone acetate - 500mg,500mg,Tablet,45056853,https://www.moph.gov.lb/en/Drugs/view/3734
3370,L01CD01,ABRAXANE,BioTech,Paclitaxel Albumin- bound - 5mg/ml,5mg/ml,Injectable powder for dispersion,17850751,https://www.moph.gov.lb/en/Drugs/view/3370
3732,L02BX03,ABREMIA,G,Abiraterone acetate - 250mg,250mg,Tablet,77478802,https://www.moph.gov.lb/en/Drugs/view/3732
3830,L04AB04,ABRILADA,BioTech,Adalimumab - 40mg,40mg,Injectable solution,40259574,https://www.moph.gov.lb/en/Drugs/view/3830
2199,D10BA01,ABSORICA LIDOSE,G,Isotretinoin - 16mg,16mg,"Capsule, hard",1827045,https://www.moph.gov.lb/en/Drugs/view/2199
4962,N07BB03,ACAMPROSATE BIOGARAN,G,Acamprosate - 333mg,333mg,"Tablet, gastroresistant",3641813,https://www.moph.gov.lb/en/Drugs/view/4962
5237,R05CB01,ACC LONG,G,"N-acetylcysteine - 600mg, Vitamin C - 75mg",600mg,"Tablet, effervescent",286238,https://www.moph.gov.lb/en/Drugs/view/5237
1450,C07AB04,ACEBUTOLOL BIOGARAN,G,Acebutolol HCl - 400mg,400mg,"Tablet, coated",615480,https://www.moph.gov.lb/en/Drugs/view/1450
1451,C07AB04,ACEBUTOLOL BIOGARAN,G,Acebutolol HCl - 200mg,200mg,"Tablet, coated",464970,https://www.moph.gov.lb/en/Drugs/view/1451
3983,M01AB16,ACECLOFAR,G,Aceclofenac - 100mg,100mg,Tablet,131697,https://www.moph.gov.lb/en/Drugs/view/3983
5446,S01EC01,ACETAZOLAMIDE,G,Acetazolamide - 250mg,250mg,Tablet,1001163,https://www.moph.gov.lb/en/Drugs/view/5446
